purchase_id,user_id
5XO44E9J22,QOD9T0ICCS
Z3UQ27TO6Z,TBIZ257WQA
R052TQZTPZ,AAIFRC2R0Y
EY7HR7R18M,R6KLL1V0KK
FRXMN6FOGI,JQQL637H2R
VD2W9CJOC9,LKU1J0WUH1
5CZKPEPGE9,86P4QX1DBN
5VYJOIPPER,L0LXOZT2X5
IX0M937F7S,86D3DEKIJV
PL91P8NYO8,L5UBBJ9SKB
N8SYR87OK1,SUFCXQNM94
63C5KIHJ8H,FDTGFKG2NL
MUGRK4TFYY,IPRWJK1YO6
F6CB70XFO7,DPZPH7J9SD
3Z3FNE8QHY,U3D0ECAWTY
78BZZ9XCLP,FRZBETXZ4R
UM3A5AGC18,YIYVRVZNBB
O4FFJ1BW0I,53AH94TKZH
AUFQUH9YZL,4YFFB08X2D
N0MWQKJ31N,UWOND3UBFM
XMUXPDBKNZ,CS8JXYJKCV
43RUHKNLF9,26HD1ZCBEJ
IA973OB8X0,9WCU4R3SWL
K1PYJDR1IF,0Q6OGJGRRG
2DJGS3STQD,3NY81SWMBV
ISP7C1PCBK,IDV7WYC4EH
1T3RMOWAAQ,SYOUTPYZ4Q
AEF7V7H77B,VYP9DUSKLI
0JC3BSKIWZ,K1ME2DYPZE
VFRQQ7ZF2W,0AOF88TF0M
BPLFXG5RRO,DB49X7R9FK
FCB3Z2GEZI,RYCIQURK6V
7TTQ08YHVQ,RR9TQ6XBM4
TCKHF6H7TN,1SI8AJQI50
R30HDL94EH,KFHGD7H5T3
FAESRVBNW5,1D8D2Z8LRW
W37CU7KPW3,YLH6GTRA9D
NDEW8CI27D,VOXOMVD2LR
G974U77BXV,5F1TMJ8ZHU
YRNTUK82PL,I8HQ8U3J3N
A3FXBR8U1R,PNWYP7FVR0
03DOWPGM0O,FEKSKF3S9J
G4U662Q1QM,0FDEX0JBFY
ZLGO6ZJR8U,KV21G3B7KA
R9VUJXXZ9F,X5KB53L6K9
7OHXDFALPM,83TPEDZCKP
DH6PV5CYYJ,IYOB2A4P0X
03VP69B4UE,Q6LJ38I383
7QFB02GLHR,QFF7FUCXCY
HL6VFW8SFY,5PFN8FVVYI
